date,pressure,ws,gs,soilt,wd,airt,par,rh
2017-09-02 01:19:00,30.0620333333333,NA,2.63333333333333,16.462962962963,NA,4.73981481481481,1.2,97.0666666666667
2017-09-02 01:49:00,30.0620666666667,NA,1.87333333333333,16.32,NA,4.49722222222222,1.2,96.9
2017-09-02 02:19:00,30.0659666666667,1.12,2.25333333333333,16.177037037037,51.9,4.41925925925926,1.2,97.9666666666667
2017-09-02 02:49:00,30.0679333333333,NA,1.5,16.0340740740741,NA,4.0012962962963,1.2,97.8
2017-09-02 03:19:00,30.0679333333333,NA,2.26,15.907037037037,NA,3.65148148148148,1.2,98.3
2017-09-02 03:49:00,30.0709,NA,1.5,15.7716666666667,NA,3.43203703703704,1.2,98.8
2017-09-02 04:19:00,30.0718666666667,1.12,1.88,15.6366666666667,51.9,3.51148148148148,1.2,99.0666666666667
2017-09-02 04:49:00,30.0758,1.12,1.88,15.5090740740741,51.9,3.55537037037037,2.03333333333333,99.1333333333333
2017-09-02 05:19:00,30.0895666666667,NA,2.26,15.39,NA,3.66981481481482,38.7,98.7
2017-09-02 05:49:00,30.1023666666667,NA,NA,15.2938888888889,NA,4.20981481481481,172.033333333333,97.9666666666667
2017-09-02 06:19:00,30.0935333333333,1.12,3.75333333333333,15.1988888888889,51.9,5.91314814814815,419.533333333333,96.2
2017-09-02 06:49:00,30.1023666666667,1.12,2.63333333333333,15.127037037037,42.1,8.59962962962963,662.866666666667,90.7
2017-09-02 07:19:00,30.1013666666667,1.12,3.75333333333333,15.0868518518519,49.8,10.352037037037,849.533333333333,84.6
2017-09-02 07:49:00,30.1013666666667,2.26,4.5,15.0868518518519,53.3,12.6051851851852,1080.36666666667,76.4333333333333
2017-09-02 08:19:00,30.1013666666667,1.69,4.50666666666667,15.1109259259259,38.5721192103499,13.3687037037037,1033.7,71.4333333333333
2017-09-02 08:49:00,30.0984333333333,1.12,4.5,15.167037037037,63.2,14.7846296296296,1246.2,62.7
